Caudal_Ls,Corriente_A,Temperatura_C,Vibracion_mm_s,Lubricacion_pct,Presion_PSI,Estado
102.94,48.93,57.21,1.23,82.51,65.59,Normal
40.55,90.43,115.45,10.58,20.47,19.19,Crítico
59.6,66.76,84.37,2.53,61.25,94.42,Alerta
52.62,72.04,83.96,5.9,64.4,92.79,Crítico
54.71,70.53,53.46,4.05,73.76,83.53,Alerta
76.82,53.31,69.62,2.71,77.81,67.93,Normal
54.68,72.91,89.13,3.39,64.72,98.95,Alerta
108.39,62.81,65.36,1.8,91.07,53.42,Normal
71.86,43.03,61.81,1.66,77.69,51.19,Alerta
75.02,54.98,64.17,2.62,99.54,47.35,Normal
64.44,66.9,94.86,3.63,61.69,87.22,Alerta
105.09,57.07,50.25,1.65,88.34,52.32,Normal
73.39,52.44,69.43,2.72,96.36,59.62,Normal
86.42,49.17,51.53,1.13,97.06,43.17,Normal
41.03,106.25,115.98,7.93,31.62,122.37,Crítico
20.44,109.36,117.72,10.03,46.23,37.22,Crítico
67.43,90.75,108.35,8.01,46.68,31.36,Crítico
106.12,41.15,47.78,2.31,79.58,41.03,Alerta
93.61,52.47,57.01,2.03,75.83,73.28,Normal
35.63,89.87,114.55,6.51,46.54,105.7,Crítico
66.42,75.43,93.35,5.74,62.3,89.81,Crítico
52.98,66.51,84.93,4.49,77.71,82.55,Alerta
85.53,55.08,67.0,2.6,99.59,58.65,Normal
99.04,50.82,51.46,2.18,90.24,72.69,Alerta
97.48,51.01,79.62,2.0,83.18,68.51,Normal
23.1,93.98,99.66,10.45,96.41,15.75,Crítico
89.57,57.46,50.78,2.06,80.96,78.16,Normal
52.83,79.25,84.08,5.31,71.68,90.08,Alerta
27.91,91.2,114.25,2.93,42.34,35.91,Crítico
73.71,60.41,50.12,1.14,91.75,45.62,Normal
53.79,78.06,76.94,3.31,67.59,76.8,Alerta
91.61,41.88,69.08,1.2,89.46,48.17,Alerta
61.85,75.48,73.56,5.37,60.65,99.26,Alerta
59.38,67.84,93.7,5.26,69.84,82.17,Crítico
78.37,62.78,52.27,2.52,97.1,61.85,Normal
53.81,72.12,72.14,5.26,89.67,88.66,Alerta
109.23,45.32,64.14,1.86,98.81,79.25,Normal
86.47,63.64,64.05,2.54,98.03,46.47,Alerta
99.15,101.7,104.47,8.15,49.88,15.7,Crítico
90.24,50.53,50.2,2.79,94.38,75.55,Normal
107.62,47.23,52.61,2.38,79.75,71.51,Normal
82.17,49.87,64.66,2.04,94.69,62.1,Normal
44.06,103.96,60.02,6.65,29.36,12.29,Alerta
90.86,51.74,57.37,2.52,90.64,60.51,Alerta
101.9,61.29,64.63,2.42,84.32,74.7,Normal
87.76,64.07,58.44,2.21,98.48,59.98,Normal
96.55,59.78,54.77,2.59,86.4,56.78,Normal
55.43,61.81,59.51,2.8,77.96,54.36,Normal
67.03,74.33,72.42,3.8,73.28,95.33,Alerta
69.2,101.41,98.19,8.35,49.87,36.29,Crítico
73.89,61.94,47.1,2.16,87.7,63.94,Normal
78.59,62.4,51.27,2.07,79.12,54.28,Normal
32.96,94.76,98.45,7.97,52.32,120.09,Crítico
81.24,56.56,68.43,1.14,93.79,58.4,Normal
57.29,74.56,83.75,4.46,65.11,92.63,Alerta
109.49,42.85,63.49,1.83,99.23,55.6,Normal
35.43,85.38,109.15,7.9,43.78,20.25,Crítico
73.14,55.38,52.03,2.26,81.31,45.44,Alerta
94.31,51.3,55.81,2.06,83.67,61.62,Normal
63.61,75.01,73.04,3.97,68.02,87.18,Alerta
94.1,74.21,78.71,4.04,62.59,82.59,Alerta
22.4,103.88,108.04,6.28,50.07,103.65,Crítico
52.18,72.73,87.68,4.76,63.93,90.47,Alerta
44.74,82.51,73.39,9.43,27.93,24.76,Crítico
68.2,42.13,82.39,4.22,61.8,88.63,Alerta
63.64,72.85,88.58,4.68,64.14,87.79,Alerta
52.02,69.55,87.96,4.36,72.87,87.65,Alerta
91.78,45.22,59.72,1.81,79.24,61.86,Alerta
51.23,67.11,80.94,3.96,64.56,40.46,Alerta
62.65,66.26,91.1,5.31,63.0,87.28,Alerta
34.33,83.93,96.09,8.98,21.78,28.19,Crítico
71.3,59.94,53.78,2.21,79.52,67.81,Normal
62.74,108.89,98.41,8.6,36.36,119.18,Crítico
94.77,60.93,47.47,2.23,99.06,75.7,Normal
40.53,105.43,96.51,6.14,38.79,29.0,Crítico
59.81,55.59,72.58,4.86,61.73,82.9,Alerta
98.3,64.04,54.78,2.33,85.42,70.01,Normal
53.13,68.54,81.02,5.39,66.06,96.09,Alerta
76.65,59.24,58.93,1.97,82.91,74.19,Alerta
81.73,48.84,62.44,1.27,94.85,78.66,Normal
65.49,80.0,92.03,3.02,64.27,90.14,Alerta
53.26,72.84,75.13,4.47,61.53,50.17,Alerta
72.85,47.52,59.65,1.02,96.45,68.43,Alerta
59.91,68.4,76.02,3.09,69.05,96.78,Alerta
78.95,40.68,45.76,1.61,91.07,56.48,Normal
89.71,47.66,62.07,2.26,79.0,49.8,Normal
59.47,69.28,90.58,4.01,63.21,85.62,Alerta
27.66,90.6,99.65,10.62,99.17,31.23,Crítico
65.12,73.92,92.19,3.92,63.0,41.27,Alerta
86.45,51.21,48.04,1.88,78.67,73.36,Normal
104.52,41.87,57.16,2.21,92.41,78.46,Normal
102.15,42.61,62.45,1.67,90.68,68.12,Normal
89.69,62.81,55.83,1.76,76.96,74.37,Normal
100.6,57.08,53.38,1.21,98.53,65.78,Normal
63.5,73.79,74.4,4.81,68.9,84.39,Alerta
98.27,50.89,55.09,2.5,91.85,50.37,Normal
83.36,59.31,60.97,5.16,81.3,51.53,Normal
85.08,56.96,52.7,2.69,88.58,51.2,Alerta
52.6,69.75,89.35,3.68,65.15,99.16,Normal
100.43,55.48,54.3,1.82,93.19,54.22,Alerta
34.84,98.45,104.77,11.9,35.44,105.0,Crítico
63.48,69.38,87.4,4.59,72.31,95.46,Alerta
78.99,45.94,48.64,1.29,78.14,56.91,Normal
60.88,75.63,75.62,1.62,69.72,98.34,Alerta
88.36,63.59,54.89,1.97,82.36,66.09,Normal
29.61,99.48,103.77,6.75,23.41,100.42,Crítico
107.44,62.12,45.55,2.73,85.76,70.37,Alerta
83.01,57.89,56.02,1.82,95.93,51.84,Normal
87.77,42.66,49.96,1.28,82.6,40.92,Normal
62.83,74.7,91.65,4.75,69.65,97.52,Alerta
30.5,106.33,113.95,3.4,40.19,109.51,Crítico
70.47,57.61,70.64,2.02,89.63,55.35,Normal
96.34,40.04,53.67,2.25,94.35,44.16,Normal
67.33,71.05,80.72,5.8,72.45,94.22,Alerta
40.86,85.54,113.61,7.36,91.95,16.39,Crítico
103.94,40.3,48.11,2.76,88.33,73.89,Alerta
72.01,40.89,60.22,3.18,93.83,73.99,Alerta
85.55,44.6,66.74,2.34,85.61,64.99,Normal
72.78,53.5,49.67,1.97,73.96,47.69,Normal
26.08,101.11,106.85,9.52,51.26,110.47,Alerta
43.18,107.84,81.98,8.72,24.66,119.32,Crítico
40.24,92.37,100.33,8.93,22.32,11.35,Crítico
70.72,52.57,49.33,1.28,93.02,53.66,Normal
50.15,78.57,77.11,4.42,70.36,93.01,Alerta
54.57,78.68,92.24,4.69,69.27,90.85,Crítico
74.16,61.36,52.36,1.79,88.85,69.15,Normal
65.06,73.85,74.79,2.93,68.53,95.79,Alerta
54.44,72.38,75.41,4.64,72.39,99.62,Alerta
68.86,78.58,93.99,4.47,71.81,87.41,Alerta
105.49,54.42,63.93,2.07,87.57,64.79,Normal
48.75,95.2,108.19,9.23,44.88,18.83,Crítico
31.21,85.62,115.17,10.31,33.46,76.92,Crítico
98.91,105.83,109.02,6.36,29.57,124.78,Crítico
65.47,76.94,84.2,3.91,61.17,98.87,Alerta
102.11,47.73,61.41,1.67,98.25,67.0,Normal
104.09,53.6,50.3,2.37,97.36,45.36,Normal
107.75,64.66,62.41,1.48,66.57,47.17,Normal
99.15,50.04,47.49,1.22,94.67,61.64,Alerta
67.93,76.5,89.55,1.72,71.98,86.93,Alerta
65.51,78.81,73.27,5.34,66.98,88.63,Alerta
24.09,86.77,100.1,8.91,56.42,34.09,Crítico
84.31,45.48,45.37,1.42,90.04,66.09,Normal
67.26,78.44,71.17,4.75,67.84,81.03,Alerta
67.1,66.51,85.05,3.42,63.48,94.0,Alerta
61.98,75.29,83.17,4.87,67.24,85.33,Alerta
55.27,74.01,79.43,3.76,62.43,86.47,Alerta
94.14,64.15,58.65,1.17,93.45,74.7,Normal
57.45,66.24,93.04,4.37,73.15,84.19,Alerta
80.49,72.7,85.38,4.24,63.43,83.93,Alerta
76.74,52.8,57.65,1.89,98.34,63.9,Normal
55.07,67.98,91.08,3.3,73.33,85.1,Alerta
72.69,52.48,69.7,2.44,86.31,57.53,Normal
79.15,59.16,52.99,2.05,91.3,76.62,Normal
67.07,75.35,68.51,5.18,73.08,84.15,Alerta
45.08,92.83,98.48,11.21,22.87,34.34,Crítico
64.65,75.56,94.75,4.18,61.16,87.98,Alerta
107.71,50.47,68.82,1.51,91.78,52.06,Normal
57.96,71.0,88.47,5.13,67.25,77.89,Alerta
33.77,102.31,96.8,6.33,23.25,128.3,Crítico
33.87,92.18,93.81,8.0,31.91,22.36,Alerta
25.73,42.75,116.8,8.4,53.17,12.18,Crítico
65.49,79.34,78.11,3.09,87.36,86.93,Alerta
89.38,59.0,67.57,2.32,92.34,55.37,Normal
59.15,71.38,92.03,5.66,67.62,86.61,Alerta
90.47,59.43,50.98,3.23,84.67,69.98,Normal
51.81,79.71,88.04,4.39,61.08,81.37,Alerta
57.27,69.65,79.06,5.14,69.36,86.59,Alerta
66.95,76.2,92.15,3.52,73.92,92.53,Alerta
61.44,67.28,89.79,3.62,70.55,97.82,Alerta
89.93,62.77,48.91,1.64,79.22,67.03,Alerta
65.59,71.93,80.25,5.68,69.91,83.2,Alerta
22.79,107.69,110.67,7.63,37.91,23.48,Alerta
67.78,76.32,71.07,4.55,69.38,82.04,Alerta
67.57,78.61,85.72,4.04,60.92,93.15,Alerta
80.88,46.12,45.72,1.43,83.74,75.86,Normal
58.86,67.98,89.79,2.25,73.17,84.56,Alerta
64.97,77.53,75.06,3.9,66.42,90.89,Alerta
72.19,51.56,47.39,1.5,82.29,45.17,Normal
71.45,42.22,53.98,1.05,77.06,66.88,Normal
83.71,50.12,64.1,2.75,89.84,74.99,Normal
96.47,49.28,45.94,1.58,99.2,42.13,Normal
96.17,43.81,52.73,1.58,99.21,64.2,Normal
37.48,97.74,102.87,5.09,45.18,14.27,Crítico
82.5,48.43,53.38,1.35,97.49,66.49,Alerta
100.1,48.51,49.73,2.62,79.89,44.14,Normal
54.56,73.21,85.5,3.84,60.51,49.16,Alerta
52.03,71.04,85.02,4.82,70.84,82.81,Alerta
99.66,44.21,45.82,2.57,87.2,49.85,Normal
54.07,76.67,94.12,4.89,65.32,82.36,Alerta
20.02,93.88,99.88,2.23,24.44,21.4,Crítico
72.7,58.7,48.13,1.84,76.09,53.69,Normal
50.34,78.99,92.87,5.66,97.81,81.88,Alerta
22.11,81.61,119.71,6.54,43.48,29.68,Crítico
72.7,43.23,53.79,2.08,87.24,63.45,Normal
102.75,50.53,69.71,2.78,78.77,59.92,Normal
23.51,108.56,110.66,10.15,22.7,26.76,Crítico
52.34,70.31,71.99,5.99,66.62,87.84,Crítico
65.48,70.72,89.05,3.53,68.56,87.64,Alerta
50.29,66.43,86.44,5.36,68.41,97.05,Crítico
102.36,56.85,66.85,2.73,91.81,50.86,Normal
100.02,54.28,66.71,1.84,85.53,67.89,Normal
71.67,51.68,56.76,1.6,97.59,45.89,Alerta
34.35,105.52,105.87,9.55,46.16,27.48,Alerta
83.55,50.85,57.82,2.62,86.54,51.02,Normal
58.52,69.04,89.78,4.86,73.09,93.19,Crítico
76.27,56.79,61.08,2.26,94.81,63.94,Normal
55.84,88.01,114.24,7.75,20.48,29.2,Crítico
105.16,40.77,64.94,2.02,77.68,46.4,Normal
70.9,48.76,45.93,2.71,97.73,78.95,Normal
63.97,67.93,82.42,5.48,60.22,93.5,Alerta
99.96,48.74,62.89,2.79,84.52,67.58,Normal
65.62,68.63,87.07,5.19,80.76,87.66,Alerta
51.0,67.39,79.75,3.86,72.86,96.92,Alerta
54.14,78.83,91.08,3.44,72.93,98.73,Alerta
68.42,69.72,71.33,3.85,70.71,87.82,Alerta
46.8,99.73,110.77,7.38,49.72,101.31,Crítico
85.26,64.32,63.25,1.43,97.54,55.73,Normal
80.41,52.33,46.51,1.57,77.42,78.86,Normal
74.08,51.21,61.23,1.67,80.88,48.52,Normal
53.56,74.67,81.58,5.26,70.37,95.07,Normal
102.27,61.33,56.01,1.3,79.86,56.67,Normal
108.23,42.84,50.12,2.22,80.86,54.34,Normal
79.22,73.7,58.82,1.3,85.18,71.73,Normal
23.54,86.86,101.83,8.92,30.89,38.86,Crítico
58.69,67.33,82.63,3.03,66.9,61.01,Alerta
81.08,63.19,60.42,2.59,89.86,46.07,Normal
104.88,59.88,53.52,1.38,94.56,53.89,Normal
73.83,57.67,48.79,5.7,90.24,47.18,Normal
59.26,75.71,87.39,3.43,65.59,86.82,Alerta
59.64,73.14,81.32,5.51,68.21,92.08,Alerta
89.56,45.63,55.62,1.12,91.33,54.48,Normal
86.91,40.73,49.66,1.84,77.5,63.53,Normal
75.01,40.45,67.54,1.42,88.45,66.21,Normal
59.37,67.78,86.21,3.54,67.76,87.78,Normal
43.72,85.78,118.32,8.82,38.59,25.38,Crítico
74.75,54.61,65.79,5.56,92.13,72.38,Normal
76.8,52.21,64.33,1.63,78.66,56.43,Normal
95.79,53.57,61.58,2.67,90.04,46.99,Normal
68.83,72.65,87.43,3.56,63.47,97.12,Alerta
26.94,85.77,91.47,8.96,31.51,30.87,Crítico
109.36,50.25,53.19,1.87,94.2,49.32,Normal
94.65,55.73,69.38,1.27,85.83,70.92,Normal
51.98,71.82,78.87,5.81,62.65,86.31,Alerta
59.7,76.6,77.0,4.25,64.41,97.14,Normal
55.44,71.15,85.88,3.31,68.5,89.58,Alerta
98.91,49.58,47.39,2.03,67.67,70.17,Alerta
94.28,49.26,53.94,1.09,89.33,70.53,Normal
77.27,44.91,57.58,2.56,83.55,42.16,Normal
77.97,53.2,46.29,1.84,89.1,65.83,Normal
66.22,69.07,80.54,5.27,60.23,89.41,Alerta
21.39,101.3,108.91,8.31,48.7,20.94,Crítico
39.52,98.34,99.3,11.81,51.68,10.28,Crítico
70.53,46.3,50.31,2.61,84.31,74.41,Normal
107.79,46.09,62.96,2.36,83.24,68.9,Alerta
103.56,62.75,54.36,1.59,87.56,69.56,Normal
68.45,77.94,92.81,3.14,73.11,81.34,Alerta
91.43,42.62,47.85,1.34,99.92,50.93,Normal
74.64,47.58,62.35,5.91,83.95,77.57,Alerta
54.21,67.1,93.05,5.66,65.52,82.07,Alerta
87.67,60.14,64.24,1.11,92.84,57.09,Normal
107.79,52.15,68.61,2.22,90.18,79.56,Normal
53.78,74.23,81.78,3.07,68.75,98.32,Alerta
29.3,94.98,111.77,6.3,33.1,103.25,Crítico
32.94,86.07,110.37,6.16,33.05,29.33,Crítico
90.73,41.37,68.56,1.84,98.18,63.2,Normal
106.1,64.4,69.69,2.15,86.12,54.78,Normal
37.95,84.42,109.87,8.91,53.11,24.28,Crítico
30.8,98.46,98.47,2.62,43.42,24.57,Crítico
101.98,76.83,90.84,4.29,68.51,90.95,Alerta
85.19,45.54,51.77,1.53,79.49,46.5,Alerta
100.14,62.6,55.5,2.28,89.24,65.34,Alerta
64.65,78.19,93.39,5.69,62.15,84.85,Alerta
39.89,107.37,83.07,8.41,25.28,136.5,Crítico
48.9,85.96,102.77,1.3,36.92,22.03,Crítico
59.56,67.41,77.48,2.99,62.8,98.17,Alerta
97.93,52.97,45.93,2.73,85.82,66.01,Normal
46.86,98.72,107.9,9.07,45.91,118.99,Crítico
33.82,96.27,106.69,10.39,35.64,135.08,Crítico
96.9,62.63,45.74,1.96,75.79,61.76,Normal
82.48,57.38,64.48,5.15,98.17,66.02,Normal
106.21,49.27,54.16,1.81,87.79,51.81,Normal
105.6,45.5,55.15,1.21,92.33,52.42,Normal
27.68,97.21,102.02,8.29,56.06,17.96,Crítico
74.8,43.96,66.98,1.75,85.32,75.85,Normal
57.13,79.26,77.33,5.63,62.88,81.23,Normal
94.31,48.94,56.15,5.82,96.25,49.49,Normal
104.48,61.87,48.73,4.28,84.9,50.38,Normal
51.92,75.97,71.42,5.01,62.45,95.59,Alerta
98.53,78.64,92.4,4.36,72.2,84.03,Alerta
61.23,79.77,73.63,4.1,72.47,92.99,Alerta
26.49,80.19,81.7,10.0,25.15,117.83,Crítico
90.1,45.44,59.27,1.57,93.51,41.49,Normal
90.98,47.85,49.54,2.47,82.18,91.94,Normal
63.8,78.17,88.86,5.75,69.35,95.3,Alerta
57.4,70.85,73.38,5.53,60.88,99.24,Alerta
59.48,70.53,76.4,2.96,66.14,92.77,Alerta
90.92,53.43,60.26,1.68,86.23,93.58,Normal
108.92,51.1,65.78,1.41,89.7,47.96,Normal
106.17,60.91,68.21,1.28,84.05,54.71,Normal
32.97,97.11,109.89,9.67,53.49,118.93,Crítico
102.67,44.46,55.66,4.72,76.7,74.02,Normal
63.39,68.75,81.21,2.93,64.12,94.63,Alerta
103.59,58.87,48.06,2.47,96.3,40.87,Normal
95.46,54.44,60.44,1.1,92.87,76.03,Normal
70.49,46.43,69.14,2.68,98.17,77.89,Normal
57.83,78.79,75.45,4.37,71.93,83.95,Normal
95.5,62.33,69.95,1.69,76.0,48.79,Normal
100.85,55.35,77.19,1.08,79.13,79.43,Normal
50.2,73.18,74.64,5.45,66.83,95.96,Alerta
33.37,105.58,109.67,10.06,57.02,46.1,Crítico
80.95,50.06,45.62,2.24,79.31,47.22,Normal
67.36,79.12,89.71,5.4,69.85,83.64,Alerta
41.59,58.98,99.32,7.93,44.88,20.54,Crítico
48.89,88.47,95.71,11.24,21.85,36.04,Crítico
27.92,80.33,112.56,7.0,47.28,25.71,Crítico
82.62,47.18,52.65,1.24,88.01,63.19,Normal
97.99,44.28,53.35,1.78,88.12,70.43,Normal
95.1,58.18,51.12,2.3,87.09,67.71,Normal
96.6,55.13,55.84,1.35,92.31,75.94,Normal
95.4,40.35,57.2,1.71,84.63,67.11,Normal
53.05,66.57,78.7,4.35,69.78,89.08,Alerta
34.59,95.48,105.91,8.21,31.19,17.83,Alerta
102.81,56.19,69.96,1.51,91.22,54.75,Normal
55.9,68.13,78.44,4.08,70.03,91.7,Alerta
52.93,70.47,81.04,4.42,62.13,82.96,Alerta
33.18,95.59,98.49,9.2,63.4,19.25,Crítico
106.77,59.76,55.82,2.71,81.0,77.65,Alerta
52.21,71.21,88.06,4.62,70.27,85.85,Alerta
72.51,45.28,67.26,1.8,79.32,62.8,Normal
93.95,48.5,60.18,1.17,91.58,78.64,Normal
108.51,52.73,69.58,1.14,93.56,74.63,Normal
76.7,53.42,62.31,1.58,76.31,51.11,Normal
71.46,43.6,62.72,2.53,80.5,61.4,Normal
51.79,72.39,69.24,3.77,60.28,93.25,Alerta
